mode,value,attack_percent,z_score,accuracy
gamma,0.250000,20,17.066667,0.850000
gamma,0.250000,40,17.866667,0.853333
gamma,0.250000,60,8.933333,0.848333
gamma,0.250000,80,4.666667,0.846667
gamma,0.250000,100,-0.933333,0.848333
gamma,0.330000,20,17.926597,0.861667
gamma,0.330000,40,15.102544,0.856667
gamma,0.330000,60,9.331653,0.850000
gamma,0.330000,80,1.596204,0.848333
gamma,0.330000,100,-2.701268,0.851667
gamma,0.500000,20,13.279056,0.863333
gamma,0.500000,40,9.122134,0.855000
gamma,0.500000,60,3.925982,0.853333
gamma,0.500000,80,0.346410,0.850000
gamma,0.500000,100,-3.810512,0.851667
gamma,0.670000,20,8.717729,0.853333
gamma,0.670000,40,5.893676,0.853333
gamma,0.670000,60,0.613925,0.848333
gamma,0.670000,80,-3.192408,0.848333
gamma,0.670000,100,-6.998740,0.846667
gamma,0.750000,20,6.533333,0.856667
gamma,0.750000,40,2.933333,0.853333
gamma,0.750000,60,0.266667,0.850000
gamma,0.750000,80,-3.466667,0.850000
gamma,0.750000,100,-8.133333,0.846667
