Scheme,Category,F1-score
Original,1,0.702929
Original,2,0.613531
Original,3,0.728086
Original,4,0.926905
Original,5,0.826893
Original,6,0.773222
Original,7,0.926196
TabularMark,1,0.692244
TabularMark,2,0.605607
TabularMark,3,0.719490
TabularMark,4,0.927357
TabularMark,5,0.816923
TabularMark,6,0.763158
TabularMark,7,0.925593
HistMark,1,0.610849
HistMark,2,0.030441
HistMark,3,0.680321
HistMark,4,0.919453
HistMark,5,0.828479
HistMark,6,0.085174
HistMark,7,0.650173
SemMark,1,0.700840
SemMark,2,0.607547
SemMark,3,0.714032
SemMark,4,0.923913
SemMark,5,0.816171
SemMark,6,0.734899
SemMark,7,0.927818
