mode,value,attack_percent,z_score,accuracy
p,10.000000,20,4.849742,0.853333
p,10.000000,40,5.080682,0.853333
p,10.000000,60,-2.078461,0.848333
p,10.000000,80,-7.043673,0.846667
p,10.000000,100,-12.701706,0.848333
p,20.000000,20,11.777945,0.855000
p,20.000000,40,7.505553,0.853333
p,20.000000,60,1.039230,0.846667
p,20.000000,80,-3.117691,0.846667
p,20.000000,100,-8.313844,0.846667
p,30.000000,20,13.279056,0.856667
p,30.000000,40,8.660254,0.853333
p,30.000000,60,3.695042,0.853333
p,30.000000,80,-0.577350,0.846667
p,30.000000,100,-5.658033,0.846667
p,40.000000,20,13.394526,0.853333
p,40.000000,40,8.775724,0.850000
p,40.000000,60,4.965212,0.846667
p,40.000000,80,0.692820,0.846667
p,40.000000,100,-2.424871,0.846667
p,50.000000,20,12.932646,0.846667
p,50.000000,40,8.429314,0.846667
p,50.000000,60,3.925982,0.846667
p,50.000000,80,0.346410,0.846667
p,50.000000,100,-3.348632,0.846667
