mode,value,attack_percent,z_score,accuracy
n,100,20,3.200000,0.853333
n,100,40,3.800000,0.853333
n,100,60,1.000000,0.848333
n,100,80,0.600000,0.846667
n,100,100,-2.800000,0.848333
n,200,20,10.182338,0.853333
n,200,40,7.353911,0.853333
n,200,60,3.111270,0.846667
n,200,80,-1.272792,0.846667
n,200,100,-3.535534,0.846667
n,300,20,13.279056,0.855000
n,300,40,9.122134,0.853333
n,300,60,3.925982,0.853333
n,300,80,0.346410,0.846667
n,300,100,-3.810512,0.846667
n,400,20,15.000000,0.853333
n,400,40,10.500000,0.851667
n,400,60,3.500000,0.848333
n,400,80,0.300000,0.848333
n,400,100,-4.700000,0.846667
n,500,20,16.278575,0.853333
n,500,40,11.359225,0.846667
n,500,60,4.829907,0.846667
n,500,80,-0.536656,0.846667
n,500,100,-4.651021,0.846667
